
NIF, Carrer de DIRECCIÓN CIUDAD,https://www.google.com/maps/preview/place/C.+de+Direcci%C3%B3n,+06691+Pantano+de+Cijara,+C%C3%A1ceres/@39.3897645,-5.0054868,3084a,13.1y/data\\u003d!4m2!3m1!1s0xd6acd902be059f9:0x7092e4c24b229629\
H65900896, CELLECS 18 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+C%C3%A9llecs,+18,+08520+Corr%C3%B3+d'Avall,+Barcelona/@41.6270203,2.2980826,2982a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c628b782d5a7:0x1c07685b731282fa\
H61610705, CELLECS 18 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+C%C3%A9llecs,+18,+08403+Granollers,+Barcelona/@41.6136662,2.2815841,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7b5e05bde65:0xb98fa661fd0e762a\
H64083611, CELLECS 3 5 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+C%C3%A9llecs,+3,+5,+08520+Corr%C3%B3+d'Avall,+Barcelona/@41.6291124,2.2976061,2982a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c626098bac31:0xc5b4a619c8b8217d\
H64353857, CELLECS 4 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+C%C3%A9llecs,+4,+08520+Corr%C3%B3+d'Avall,+Barcelona/@41.629337,2.2974058,2982a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c625e03bd5c7:0x45220af1b157a8c7\
H59528992, COLL I PUJOL 38 08912 BADALONA BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+Coll+i+Pujol,+38,+08912+Badalona,+Barcelona/@41.4492908,2.24183,2991a,13.1y/data\\u003d!4m2!3m1!1s0x12a4bb6d61617a69:0xce564cffc5e8ffb2\
H59672550, Carrer de COLOMBIA 1 GRANOLLERS,https://www.google.com/maps/preview/place/Carrer+de+Col%C3%B2mbia,+1,+08402+Granollers,+Barcelona/@41.6071511,2.2960577,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7da739e4443:0x1c02c4fba0bc6b0b\
H60229176, Carrer de COLOMBIA 7 GRANOLLERS,https://www.google.com/maps/preview/place/Carrer+de+Col%C3%B2mbia,+7,+08402+Granollers,+Barcelona/@41.6076751,2.2960747,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7da726d0a63:0x95da8e500ef4de76\
H01769975, COLON 10 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/08520,+Barcelona/@41.6478275,2.3123031,2981a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c8bac9e62e7f:0x1c00fae37a475430\
H59719328, Carrer de COLON 8 GRANOLLERS,https://www.google.com/maps/preview/place/Passeig+Crist%C3%B2fol+Colom,+8,+08402+Granollers,+Barcelona/@41.5999985,2.287849,2984a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c2212dc905:0x6cc9dbd6acf46712\
H65280224, CONANGE COLLELL 6 08530 LA GARRIGA BARCELONA,https://www.google.com/maps/preview/place/Carrer+Canonge+Collell,+6,+08530+La+Garriga,+Barcelona/@41.6815963,2.2836241,2980a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c59591a1a727:0xc7e132071d072942\
H64312879, CONGOST 81 08530 LA GARRIGA BARCELONA,https://www.google.com/maps/preview/place/Passeig+del+Congost,+81,+08530+La+Garriga,+Barcelona/@41.6891502,2.2855248,2979a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c599ceab4b65:0xd5abe1b2cdda165c\
H61906301, CORRO 163 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+Corr%C3%B3,+163,+08401+Granollers,+Barcelona/@41.6130432,2.289315,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7ce9b8c68cb:0xf85aeb629fbf250\
H62898473, CORRÓ 289 293 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+Corr%C3%B3,+289,+293,+08401+Granollers,+Barcelona/@41.617656,2.2908452,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7cd3a94f33f:0xa51f73a4c4c73f04\
H59668236, COSTA BRAVA 113 08430 LA ROCA DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+Costa+Brava,+113,+08430+La+Roca+del+Vall%C3%A8s,+Barcelona/@41.6000407,2.3015494,2984a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7df90a09f0f:0xb94ce20bbae0bfc3\
37650472R, D'ALFONS IV 82 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Alfons+IV,+82,+08401+Granollers,+Barcelona/@41.6036056,2.2877383,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c401ccba57:0x16c85038bad142d\
H59596262, D'ANSELM CLAVE 43 08100 MOLLET DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Anselm+Clav%C3%A9,+43,+08100+Mollet+del+Vall%C3%A8s,+Barcelona/@41.5396836,2.2156085,2986a,13.1y/data\\u003d!4m2!3m1!1s0x12a4bed7da196617:0xb5cebdbb77401773\
H59436253, D'ANSELM CLAVE 52 08530 LA GARRIGA BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Anselm+Clav%C3%A9,+52,+08530+La+Garriga,+Barcelona/@41.6784615,2.2858852,2980a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c594cd967e8f:0x3c02ecf7e59f352\
H64008881, D'ARAGO 43 45 08402 GRANOLLERS BARCELONA,https://www.google.com/maps/preview/place/Carrer+d'Arag%C3%B3,+43,+45,+08401+Granollers,+Barcelona/@41.6013538,2.2861058,2984a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c7c10ebc3caf:0x5890a8f724be7f83\
H59703116, Carrer de DE DALT SADURNI PUJADES 2 LA ROCA DEL VALLES,https://www.google.com/maps/preview/place/Carrer+de+Dalt+Alcalde+Sadurni+Pujadas,+2,+08430+La+Roca+del+Vall%C3%A8s,+Barcelona/@41.5884381,2.3264286,2984a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c83cbac50231:0x5f8c20c03fc040e\
H61998621, DE LA SERRA 1 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+la+Serra,+1,+08520+Corr%C3%B3+d'Avall,+Barcelona/@41.6234574,2.2905285,2982a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c6318722f29b:0x3895c64e12932e34\
H61998621, DE LA SERRA 3 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+la+Serra,+3,+08520+Corr%C3%B3+d'Avall,+Barcelona/@41.6236748,2.2908668,2982a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c6318613c4f9:0xf243ee92dc46bdb4\
H62181268, DE LA SERRA 5 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+la+Serra,+5,+08520+Corr%C3%B3+d'Avall,+Barcelona/@41.6238715,2.2912573,2982a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c6318d6d362b:0x73b2831afaa83c42\
H64186588, DE LA SERRA 50 52 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+la+Serra,+50,+52,+08520+Corr%C3%B3+d'Avall,+Barcelona/@41.6265162,2.2966061,2982a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c62f3b86d8c9:0xb60acdf72f2df13\
H67173252, DE LA SERRA 60 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+de+la+Serra,+60,+08520+Corr%C3%B3+d'Avall,+Barcelona/@41.62727,2.2977818,2982a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c628b3f0de3d:0x7421b5fb76ed28ee\
H62120944, DEL PONT 6 08520 LAS FRANQUESAS DEL VALLES BARCELONA,https://www.google.com/maps/preview/place/Carrer+del+Pont,+6,+08520+Corr%C3%B3+d'Avall,+Barcelona/@41.6226686,2.292631,2983a,13.1y/data\\u003d!4m2!3m1!1s0x12a4c62df7f7f3ed:0xe6d32526283d2d5d\
